ID,Time Stamp,DG_On_Load,DG_ON,DGFuelLow,Door_Open,SiteOnBat,Mains_Fail,Fire_Smoke,DGBatt_Low,Room_Temp,Rack_Temp,Batt_Volt,L1_Voltage,L2_Voltage,L3_Voltage,RectFail,Rec_LowV,DG_AC
160,4/1/2018 10:58,No,No,NOT-PROV,Yes,No,No,No,No,25,24.76,55.1,234.49,0,0,No,NOT-PROV,0
161,4/1/2018 10:55,No,No,NOT-PROV,Yes,No,No,No,No,25.12,24.63,55.16,232.34,0,0,No,NOT-PROV,0
162,4/1/2018 10:54,No,No,NOT-PROV,Yes,No,No,No,No,25.6,25.12,55.16,232.73,0,0,No,NOT-PROV,0
163,4/1/2018 10:52,No,No,NOT-PROV,Yes,No,No,No,No,25.48,24.88,55.16,234.2,0,0,No,NOT-PROV,0
164,4/1/2018 10:50,No,No,NOT-PROV,Yes,No,No,No,No,24.63,21.12,55.16,232.24,0,0,No,NOT-PROV,0
165,4/1/2018 10:49,No,No,NOT-PROV,Yes,No,No,No,No,23.79,23.54,55.16,233.02,0,0,No,NOT-PROV,0
166,4/1/2018 10:47,No,No,NOT-PROV,Yes,No,No,No,No,24.51,23.79,55.22,233.51,0,0,No,NOT-PROV,0
167,4/1/2018 10:45,No,No,NOT-PROV,Yes,No,No,No,No,24.39,24.39,55.16,233.22,0,0,No,NOT-PROV,0
168,4/1/2018 10:43,No,No,NOT-PROV,Yes,No,No,No,No,24.63,24.39,55.16,231.56,0,0,No,NOT-PROV,0
169,4/1/2018 10:41,No,No,NOT-PROV,Yes,No,No,No,No,24.39,24.03,55.16,231.07,0,0,No,NOT-PROV,0
170,4/1/2018 10:38,No,No,NOT-PROV,Yes,No,No,No,No,24.03,23.91,55.22,231.17,0,0,No,NOT-PROV,0
171,4/1/2018 10:37,No,No,NOT-PROV,Yes,No,No,No,No,23.54,23.06,55.16,231.66,0,0,No,NOT-PROV,0
172,4/1/2018 10:35,No,No,NOT-PROV,Yes,No,No,No,No,23.3,23.3,55.22,232.14,0,0,No,NOT-PROV,0
173,4/1/2018 10:31,No,No,NOT-PROV,Yes,No,No,No,No,23.3,22.7,55.22,230.58,0,0,No,NOT-PROV,0
174,4/1/2018 10:30,No,No,NOT-PROV,Yes,No,No,No,No,23.54,22.94,55.16,230.97,0,0,No,NOT-PROV,0
175,4/1/2018 10:29,No,No,NOT-PROV,Yes,No,No,No,No,23.06,22.58,55.22,232.14,0,0,No,NOT-PROV,0
176,4/1/2018 10:27,No,No,NOT-PROV,Yes,No,No,No,No,23.42,23.18,55.22,231.26,0,0,No,NOT-PROV,0
177,4/1/2018 10:25,No,No,NOT-PROV,Yes,No,No,No,No,23.3,22.82,55.34,230.87,0,0,No,NOT-PROV,0
178,4/1/2018 10:23,No,No,NOT-PROV,Yes,No,No,No,No,23.3,22.94,55.22,231.26,0,0,No,NOT-PROV,0
179,4/1/2018 10:21,No,No,NOT-PROV,Yes,No,No,No,No,22.45,21.97,55.16,231.46,0,0,No,NOT-PROV,0
180,4/1/2018 10:19,No,No,NOT-PROV,Yes,No,No,No,No,23.06,22.7,55.22,231.56,0,0,No,NOT-PROV,0
181,4/1/2018 10:17,No,No,NOT-PROV,Yes,No,No,No,No,22.82,22.58,55.16,231.56,0,0,No,NOT-PROV,0
182,4/1/2018 10:15,No,No,NOT-PROV,Yes,No,No,No,No,22.45,22.7,55.22,232.93,0,0,No,NOT-PROV,0
183,4/1/2018 10:14,No,No,NOT-PROV,Yes,No,No,No,No,22.33,22.21,55.22,232.93,0,0,No,NOT-PROV,0
184,4/1/2018 10:12,No,No,NOT-PROV,Yes,No,No,No,No,22.33,20.52,55.28,231.95,0,0,No,NOT-PROV,0
185,4/1/2018 10:11,No,No,NOT-PROV,Yes,No,No,No,No,22.09,21.85,55.22,230.48,0,0,No,NOT-PROV,0
186,4/1/2018 10:09,No,No,NOT-PROV,Yes,No,No,No,No,22.45,21.97,55.22,230.29,0,0,No,NOT-PROV,0
187,4/1/2018 10:07,No,No,NOT-PROV,Yes,No,No,No,No,21.97,21.61,55.16,229.7,0,0,No,NOT-PROV,0
188,4/1/2018 10:05,No,No,NOT-PROV,Yes,No,No,No,No,21.85,21.24,55.22,229.9,0,0,No,NOT-PROV,0
189,4/1/2018 10:04,No,No,NOT-PROV,Yes,No,No,No,No,22.58,22.09,55.16,229.5,0,0,No,NOT-PROV,0
190,4/1/2018 10:02,No,No,NOT-PROV,Yes,No,No,No,No,22.45,22.09,55.22,229.41,0,0,No,NOT-PROV,0
191,4/1/2018 10:00,No,No,NOT-PROV,Yes,No,No,No,No,21.85,21.37,55.16,229.21,0,0,No,NOT-PROV,0
